"date","year","month","country","sector","value"
2015-04-01,2015,4,"russia","aviation_mtco2",1.26583333333333
2015-04-01,2015,4,"russia","transport_mtco2",18.7825
2015-04-01,2015,4,"russia","total_hist_mtco2",116.482780577515
2015-04-01,2015,4,"japan","power_mtco2",48.6638152144418
2015-04-01,2015,4,"japan","industry_mtco2",22.9042438130156
2015-04-01,2015,4,"japan","residential_mtco2",9.94333333333333
2015-04-01,2015,4,"japan","aviation_mtco2",0.834166666666667
2015-04-01,2015,4,"japan","transport_mtco2",16.4866666666667
2015-04-01,2015,4,"japan","total_hist_mtco2",98.832225694124
2015-04-01,2015,4,"brazil","power_mtco2",8.66017028153543
2015-04-01,2015,4,"brazil","industry_mtco2",11.6258467023173
2015-04-01,2015,4,"brazil","residential_mtco2",3.3225
2015-04-01,2015,4,"brazil","aviation_mtco2",0.9125
2015-04-01,2015,4,"brazil","transport_mtco2",15.5308333333333
2015-04-01,2015,4,"brazil","total_hist_mtco2",40.0518503171861
2015-04-01,2015,4,"germany","power_mtco2",22.3944283298681
2015-04-01,2015,4,"germany","industry_mtco2",10.8623715216846
2015-04-01,2015,4,"germany","residential_mtco2",10.9891666666667
2015-04-01,2015,4,"germany","aviation_mtco2",0.183333333333333
2015-04-01,2015,4,"germany","transport_mtco2",12.9458333333333
2015-04-01,2015,4,"germany","total_hist_mtco2",57.375133184886
2015-04-01,2015,4,"france","power_mtco2",1.26008200738379
2015-04-01,2015,4,"france","industry_mtco2",5.30287
2015-04-01,2015,4,"france","residential_mtco2",6.5125
2015-04-01,2015,4,"france","aviation_mtco2",0.2
2015-04-01,2015,4,"france","transport_mtco2",9.99916666666667
2015-04-01,2015,4,"france","total_hist_mtco2",23.2746186740505
2015-04-01,2015,4,"italy","power_mtco2",6.34102021246159
2015-04-01,2015,4,"italy","industry_mtco2",4.66624707259953
2015-04-01,2015,4,"italy","residential_mtco2",5.90833333333333
2015-04-01,2015,4,"italy","aviation_mtco2",0.174166666666667
2015-04-01,2015,4,"italy","transport_mtco2",8.3525
2015-04-01,2015,4,"italy","total_hist_mtco2",25.4422672850611
2015-04-01,2015,4,"spain","power_mtco2",3.90398096728067
2015-04-01,2015,4,"spain","industry_mtco2",4.711785
2015-04-01,2015,4,"spain","residential_mtco2",2.69666666666667
2015-04-01,2015,4,"spain","aviation_mtco2",0.445
2015-04-01,2015,4,"spain","transport_mtco2",6.68333333333333
2015-04-01,2015,4,"spain","total_hist_mtco2",18.4407659672807
2015-04-01,2015,4,"uk","power_mtco2",7.25172552981368
2015-04-01,2015,4,"uk","industry_mtco2",5.72863488624052
2015-04-01,2015,4,"uk","residential_mtco2",7.07083333333333
2015-04-01,2015,4,"uk","aviation_mtco2",0.204166666666667
2015-04-01,2015,4,"uk","transport_mtco2",9.6375
2015-04-01,2015,4,"uk","total_hist_mtco2",29.8928604160542
2015-04-01,2015,4,"all","power_mtco2",719.149192810529
2015-04-01,2015,4,"all","industry_mtco2",550.484087082184
2015-04-01,2015,4,"all","residential_mtco2",197.305833333333
2015-04-01,2015,4,"all","aviation_mtco2",22.5966666666667
2015-04-01,2015,4,"all","transport_mtco2",341.96
2015-04-01,2015,4,"all","total_hist_mtco2",1831.49577989271
2015-05-01,2015,5,"china","power_mtco2",323.134930227069
2015-05-01,2015,5,"china","industry_mtco2",332.499427713808
2015-05-01,2015,5,"china","residential_mtco2",58.5725
2015-05-01,2015,5,"china","aviation_mtco2",4.49083333333333
2015-05-01,2015,5,"china","transport_mtco2",65.2425
2015-05-01,2015,5,"china","total_hist_mtco2",783.94019127421
2015-05-01,2015,5,"india","power_mtco2",85.3945355908182
2015-05-01,2015,5,"india","industry_mtco2",56.1890072780204
2015-05-01,2015,5,"india","residential_mtco2",14.4508333333333
2015-05-01,2015,5,"india","aviation_mtco2",0.499166666666667
2015-05-01,2015,5,"india","transport_mtco2",20.7108333333333
2015-05-01,2015,5,"india","total_hist_mtco2",177.244376202172
2015-05-01,2015,5,"us","power_mtco2",136.946396514694
2015-05-01,2015,5,"us","industry_mtco2",60.567178551828
2015-05-01,2015,5,"us","residential_mtco2",48.2183333333333
2015-05-01,2015,5,"us","aviation_mtco2",13.215
2015-05-01,2015,5,"us","transport_mtco2",132.800833333333
2015-05-01,2015,5,"us","total_hist_mtco2",391.747741733189
2015-05-01,2015,5,"europe","power_mtco2",72.6170417221959
2015-05-01,2015,5,"europe","industry_mtco2",52.8617197133811
2015-05-01,2015,5,"europe","residential_mtco2",49.1333333333333
2015-05-01,2015,5,"europe","aviation_mtco2",1.37916666666667
2015-05-01,2015,5,"europe","transport_mtco2",72.4058333333333
2015-05-01,2015,5,"europe","total_hist_mtco2",248.39709476891
2015-05-01,2015,5,"russia","power_mtco2",52.7530803927403
2015-05-01,2015,5,"russia","industry_mtco2",23.2132974016572
2015-05-01,2015,5,"russia","residential_mtco2",13.665
2015-05-01,2015,5,"russia","aviation_mtco2",1.26583333333333
2015-05-01,2015,5,"russia","transport_mtco2",18.7825
2015-05-01,2015,5,"russia","total_hist_mtco2",109.679711127731
2015-05-01,2015,5,"japan","power_mtco2",46.7925101923323
2015-05-01,2015,5,"japan","industry_mtco2",21.3835330389134
2015-05-01,2015,5,"japan","residential_mtco2",9.94333333333333
2015-05-01,2015,5,"japan","aviation_mtco2",0.834166666666667
2015-05-01,2015,5,"japan","transport_mtco2",16.4866666666667
2015-05-01,2015,5,"japan","total_hist_mtco2",95.4402098979124
2015-05-01,2015,5,"brazil","power_mtco2",8.86392055744587
2015-05-01,2015,5,"brazil","industry_mtco2",12.2172192513369
2015-05-01,2015,5,"brazil","residential_mtco2",3.3225
2015-05-01,2015,5,"brazil","aviation_mtco2",0.9125
2015-05-01,2015,5,"brazil","transport_mtco2",15.5308333333333
2015-05-01,2015,5,"brazil","total_hist_mtco2",40.8469731421161
2015-05-01,2015,5,"germany","power_mtco2",18.7758683080603
2015-05-01,2015,5,"germany","industry_mtco2",10.8732338932063
2015-05-01,2015,5,"germany","residential_mtco2",10.9891666666667
2015-05-01,2015,5,"germany","aviation_mtco2",0.183333333333333
2015-05-01,2015,5,"germany","transport_mtco2",12.9458333333333
2015-05-01,2015,5,"germany","total_hist_mtco2",53.7674355345999
2015-05-01,2015,5,"france","power_mtco2",0.720342338406296
2015-05-01,2015,5,"france","industry_mtco2",5.36143583333333
2015-05-01,2015,5,"france","residential_mtco2",6.5125
2015-05-01,2015,5,"france","aviation_mtco2",0.2
2015-05-01,2015,5,"france","transport_mtco2",9.99916666666667
2015-05-01,2015,5,"france","total_hist_mtco2",22.7934448384063
2015-05-01,2015,5,"italy","power_mtco2",6.49589935361964
2015-05-01,2015,5,"italy","industry_mtco2",4.70845433255269
2015-05-01,2015,5,"italy","residential_mtco2",5.90833333333333
2015-05-01,2015,5,"italy","aviation_mtco2",0.174166666666667
